name,isOpenSource,pageUrl,category,logo,shortDescription
Microsoft Azure,false,azure,Cloud Platform,https://brandlogos.net/wp-content/uploads/2022/07/microsoft_azure-logo_brandlogos.net_mlyt6-512x512.png,A cloud computing platform offering a wide range of services for building and deploying applications.
Google Cloud Platform (GCP),false,gcp,Cloud Platform,https://brandlogos.net/wp-content/uploads/2022/07/google_cloud-logo_brandlogos.net_qxnsy-512x512.png,A suite of cloud computing services running on Google's infrastructure.
Amazon Web Services (AWS),false,aws,Cloud Platform,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/aws.png,A comprehensive and widely adopted cloud platform offering over 200 fully featured services.
AWS Lambda,false,lambda,Compute,https://icon.icepanel.io/AWS/svg/Compute/Lambda.svg,A serverless compute service that runs your code in response to events and automatically manages the underlying compute resources.
Azure Functions,false,azure-functions,Compute,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/functions.svg,A serverless compute service that enables you to run code on-demand without having to explicitly provision or manage infrastructure.
Docker,true,docker,Containerization,https://cdn4.iconfinder.com/data/icons/logos-and-brands/512/97_Docker_logo_logos-512.png,"A platform for developing, shipping, and running applications in lightweight portable containers."
Segment,false,segment,Customer Data Platform,https://media.graphassets.com/ZYqNOo1hTVy0djlkIgHA,"A customer data platform that collects, cleans, and controls customer data for businesses."
Apache Iceberg,true,iceberg,Data Format,https://py.iceberg.apache.org/assets/images/iceberg-logo-icon.png,An open table format for huge analytic datasets that brings SQL table-like performance to big data.
JSON,true,json,Data Format,https://www.json.org/img/json160.gif,"A lightweight, text-based, language-independent data interchange format."
XML,true,xml,Data Format,https://www.svgrepo.com/show/31053/xml.svg,A markup language for storing and transporting data.
CSV,true,csv,Data Format,https://www.svgrepo.com/show/375309/csv-document.svg,A simple text format for storing tabular data.
Parquet,true,parquet,Data Format,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/parquet.png,A columnar storage file format optimized for use with big data processing frameworks.
Avro,true,avro,Data Format,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/avro.png,A data serialization system providing rich data structures in a compact fast binary format.
ORC,true,orc,Data Format,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_orc_logo_icon_167862.png,A high-performance columnar storage file format for Hadoop workloads.
Snowflake,false,snowflake,Data Warehouse,https://cdn.icon-icons.com/icons2/2699/PNG/512/snowflake_logo_icon_167979.png,A cloud-based data warehousing platform with separated compute and storage.
Apache Hive,true,hive,Data Warehouse,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_hive_logo_icon_167867.png,A data warehouse software project built on Apache Hadoop with a SQL-like interface.
Google BigQuery,false,bigquery,Data Warehouse,https://www.vectorlogo.zone/logos/google_bigquery/google_bigquery-icon.svg,"A serverless, highly scalable, and cost-effective multi-cloud data warehouse."
AWS Redshift,true,redshift,Data Warehouse,https://icon.icepanel.io/AWS/svg/Analytics/Redshift.svg,"A fast, fully managed cloud data warehouse for analyzing all your data across your data warehouse and data lake."
Apache Druid,true,druid,Database,"https://open-metadata.org/_ipx/w_2048,q_75/%2Fassets%2Fservices%2Fdruid.webp?url=%2Fassets%2Fservices%2Fdruid.webp&w=2048&q=75",A high-performance real-time analytics database for large datasets.
PostgreSQL,true,postgresql,Database,https://www.postgresql.org/media/img/about/press/elephant.png,An advanced open-source relational database management system.
Apache Cassandra,false,cassandra,Database,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_cassandra_logo_icon_170572.png,A highly scalable high-performance distributed NoSQL database.
DuckDB,true,duckdb,Database,https://pbs.twimg.com/profile_images/1274363897676521474/qgbqYYuV_400x400.jpg,An embeddable SQL OLAP database management system optimized for analytical queries.
SQLite,true,sqllite,Database,https://anturis.com/wp-content/uploads/2022/09/SQLite-Logo-1.png,"A lightweight, serverless, and self-contained SQL database engine."
Supabase,true,supabase,Database;Storage;Query Engine,https://seeklogo.com/images/S/supabase-logo-DCC676FFE2-seeklogo.com.png,An open-source Firebase alternative offering a complete backend solution with a Postgres database at its core.
ClickHouse,true,clickhouse,Database; Data Warehouse,https://asset.brandfetch.io/idnezyZEJm/id_CPPYVKt.jpeg?updated=1684474240695,"An open-source, high performance columnar OLAP database management system."
Terraform,false,terraform,Infrastructure as Code,https://cdn.icon-icons.com/icons2/2107/PNG/512/file_type_terraform_icon_130125.png,"An open-source infrastructure as code tool for building, changing, and versioning infrastructure safely and efficiently."
Pulumi,true,pulumi,Infrastructure as Code,https://www.pulumi.com/logos/brand/avatar-on-black.svg,An open-source infrastructure as code tool that uses real programming languages for deploying and managing cloud resources.
Debezium,true,debezium,Ingestion,https://www.vectorlogo.zone/logos/debeziumio/debeziumio-icon.svg,An open-source platform for change data capture based on Apache Kafka.
Apache NiFi,true,nifi,Ingestion,https://nifi.apache.org/images/apache-nifi-drop-logo.svg,A platform designed to automate the flow of data between systems.
Talend,false,talend,Ingestion,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mss7jl4fbxzgvuwbcv6h",A suite of cloud apps for data integration and data integrity.
Fivetran,false,fivetran,Ingestion,https://www.vectorlogo.zone/logos/fivetran/fivetran-icon.svg,An automated data integration service that synchronizes data from applications databases and file stores.
Stitch,true,stitch,Ingestion,https://www.stitchdata.com/images/og-site-icon.png,A cloud-based platform for extracting transforming and loading (ETL) data.
Mage,true,mage,Ingestion,https://avatars.githubusercontent.com/u/69371472?s=200&v=4,An open-source data pipeline tool for building ETL and ML workflows with code.
Airbyte,true,airbyte,Ingestion,https://seeklogo.com/images/A/airbyte-logo-CC005A0105-seeklogo.com.png,An open-source data integration platform for ELT pipelines from APIs databases and files to warehouses and lakes.
Meltano,true,meltano,Ingestion,https://hub.meltano.com/assets/static/meltano.73f0d34.f6f689a38b0fbf42dc9bfa55e539954a.png,An open-source DataOps platform for the complete data lifecycle.
Matillion,false,matillion,Ingestion,https://yt3.googleusercontent.com/3-BKGTk4LOfkdsAZHp8gS-Iyo5L2BkN8uZYgp81CAGzTN8To2wvLfw0ZT2ROUAt2m1kkZNXqlHo=s160-c-k-c0x00ffffff-no-rj,A SaaS-based data integration tool for loading data into cloud data platforms.
Rivery,false,rivery,Ingestion,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a21ed36a-8964-4ff7-99c6-e7078ed0c34b.png?auto=format%2Ccompress&fit=max&w=96&q=75&ch=Width%2CDPR,A cloud-native platform for building and managing data pipelines and workflows.
Datuum,false,datuum,Ingestion,https://datuum.ai/wp-content/themes/datuum/images/datuum-fav.png,"A platform for monitoring, alerting, and resolving data quality issues across the entire data stack."
Informatica,false,informatica,Ingestion,https://images.contentstack.io/v3/assets/bltf2fca5bf44f5e817/blt56ff4c76be4b6769/654292efa7f5f10018700465/informatica-logo.png,"A comprehensive enterprise platform for data integration, quality, governance, and master data management."
Data Load Tool (DLT),true,dlt,Ingestion,https://cdn.sanity.io/images/nsq559ov/production/7f85e56e715b847c5519848b7198db73f793448d-82x25.svg?w=2000&auto=format,A data engineering platform that streamlines the creation and management of data pipelines with dbt integration and data quality features.
